@relation 'missing_fixed_cat-weka.filters.unsupervised.attribute.Remove-R1-2,14-17,19-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-R11'

@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute NowCast numeric
@attribute Raw numeric
@attribute AQI_CATEGORY {'very unhealthy ',hazardous,moderate,good,'moderate unhealthy ',unhealthy}

@data
18,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,31.475,31.625,'very unhealthy '
1,22.3,27,18.2,1010.2,78,7.11,3.9,2.6,9.4,53.479167,54.5,'very unhealthy '
1,17.1,23.1,12.3,1012.5,67.5,0,2.4,1.3,4.6,164.7,149,'very unhealthy '
17,26.3,33.1,21,1012.1,35,0,4,1.1,3.5,123.2125,120.416667,'very unhealthy '
6,29.1,33.3,26.3,1006.3,80,162.32,4.7,2.8,7.3,23.108333,22.541667,'very unhealthy '
23,27.4,33,22.1,1007.8,67.6,331.46,4.6,3.2,10,25.285714,6.714286,'very unhealthy '
5,29.9,34,25.2,1003.5,73.7,70.11,5,5.5,12.1,117.307692,116.615385,'very unhealthy '
16,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,94.145833,92.125,'very unhealthy '
13,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,163.558333,167.916667,'very unhealthy '
18,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,37.045833,36.166667,'very unhealthy '
21,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,50.629167,48.875,'very unhealthy '
23,30.5,33.9,26.8,1010.4,72,0,5,1.9,5.4,77.74,98.5,'very unhealthy '
28,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,155.020833,153.083333,'very unhealthy '
18,27.4,33,22.1,1007.8,67.6,331.46,4.6,3.2,10,79.678261,34.391304,'very unhealthy '
8,29.8,33,24.6,1004.2,80,0,4.5,5.9,11.1,36.520833,37.083333,'very unhealthy '
2,30.2,34.4,27.3,999.3,76,0,4.8,4.8,9.4,30.416667,30.083333,'very unhealthy '
18,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,37.045833,36.166667,'very unhealthy '
28,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,178.041667,179.833333,'very unhealthy '
28,27.4,30.6,24.8,1009.4,79,0,4.3,3.3,3.5,57.208333,55.708333,'very unhealthy '
15,28.2,34.4,23.7,1007.8,62,0.51,4.2,1.5,5.4,83.925,81.166667,'very unhealthy '
12,28.3,33,25.4,1006.9,74.3,73.9,4.6,0.9,4.4,37.125,38.416667,'very unhealthy '
8,29.5,36.1,24.8,1001.3,75,0,5,0.6,3.5,68.25,67.708333,'very unhealthy '
31,28.3,33,25.4,1006.9,74.3,73.9,4.6,0.9,4.4,55.591667,57.25,'very unhealthy '
27,31.9,35,27.9,1002.3,66,0,5,3.7,9.4,24.433333,23.5,'very unhealthy '
23,23.6,29.7,18.9,1013.1,65.5,0,3.7,1.1,5.9,148.85,146.875,'very unhealthy '
1,22.3,27,18.2,1010.2,78,7.11,3.9,2.6,9.4,53.479167,54.5,'very unhealthy '
7,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,122.279167,122.583333,'very unhealthy '
13,27.7,31.6,25.6,1004.6,89,0.51,4.5,0.6,3.5,34.733333,34.958333,'very unhealthy '
20,27.1,34,20.5,1009.1,40,0,4.3,1.1,5.4,108.208333,108.958333,'very unhealthy '
14,30.2,34.8,26.8,1005.4,72.1,33.53,4.4,4.4,8.6,42.829167,42.833333,'very unhealthy '
15,28.2,34.4,23.7,1007.8,62,0.51,4.2,1.5,5.4,83.925,81.166667,'very unhealthy '
10,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,245.458333,248.166667,'very unhealthy '
17,25.4,30.3,20.6,1011,64,5.85,4.3,1.6,5.4,30.066667,31.958333,'very unhealthy '
27,25.2,30.2,24.2,1011.9,89,45.72,4,2.2,9.4,46.933333,45.416667,'very unhealthy '
21,28.8,33.6,27.4,1002.3,87,17.78,4.5,0,4.3,41.425,43.916667,'very unhealthy '
23,30.5,33.9,26.8,1010.4,72,0,5,1.9,5.4,77.74,98.5,'very unhealthy '
24,25,30.1,20.1,1009.5,64.5,98.81,4.2,1.8,5.8,121.870833,121.916667,'very unhealthy '
16,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,94.145833,92.125,'very unhealthy '
31,28.3,33,25.4,1006.9,74.3,73.9,4.6,0.9,4.4,55.591667,57.25,'very unhealthy '
27,25.2,30.6,19.2,1015.5,54,0,3.9,4.3,9.4,104.479167,102.041667,'very unhealthy '
25,31.8,36.1,25.8,1003,74,32.77,5.3,0,5.5,72.845833,70.833333,'very unhealthy '
15,24.1,27.2,16.2,1014.8,53,0,3.7,1.9,3.5,159.458333,155.416667,'very unhealthy '
13,26.4,29.2,25.4,1006.6,94,11.94,4,0,4.3,25.7625,26.5,'very unhealthy '
29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,77.74,78.47,'very unhealthy '
17,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,55.283333,54.333333,'very unhealthy '
15,24.1,27.2,16.2,1014.8,53,0,3.7,1.9,3.5,159.458333,155.416667,'very unhealthy '
2,29.6,33.6,25.8,1000.7,79,17.02,5.3,3.9,5.4,25.995833,16.916667,'very unhealthy '
28,24.1,29.5,20.3,1011.2,72.8,24.13,4.2,0.9,4.3,129.266667,128.916667,'very unhealthy '
24,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,57.65,55.958333,'very unhealthy '
20,30.2,34.6,23.8,1001.7,76,0,4.8,1.1,9.4,40.720833,40.958333,'very unhealthy '
31,28.2,31.3,26.2,1004.4,89,29.21,4.5,0.7,3.5,28.354167,28.666667,'very unhealthy '
8,29.3,33.3,27,1001.1,78,0.51,4.8,2.2,3.5,24.279167,24.083333,'very unhealthy '
8,29.5,36.1,24.8,1001.3,75,0,5,0.6,3.5,68.25,67.708333,'very unhealthy '
21,23.6,29.7,18.9,1013.1,65.5,0,3.7,1.1,5.9,121.845833,120.5,'very unhealthy '
18,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,37.045833,36.166667,'very unhealthy '
31,28.3,33,25.4,1006.9,74.3,73.9,4.6,0.9,4.4,55.591667,57.25,'very unhealthy '
5,29.9,34,25.2,1003.5,73.7,70.11,5,5.5,12.1,117.307692,116.615385,'very unhealthy '
28,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,33.806667,23.8,'very unhealthy '
31,28.2,31.3,26.2,1004.4,89,29.21,4.5,0.7,3.5,28.354167,28.666667,'very unhealthy '
17,25.4,30.3,20.6,1011,64,5.85,4.3,1.6,5.4,30.066667,31.958333,'very unhealthy '
22,29.9,33.6,23.6,1006.7,53,0,4.7,0,3.5,83.279167,84.333333,'very unhealthy '
