@relation missing_fixed(2)-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute VGspeed numeric
@attribute RAin numeric
@attribute SNow numeric
@attribute TStrom numeric
@attribute FoG numeric
@attribute NowCast numeric
@attribute Raw numeric
@attribute AQI_CATEGORY {'very unhealthy ',hazardous,moderate,good,'moderate unhealthy ',unhealthy}

@data
2018,2,24,23.4,29.2,18.3,1012.5,57,20.32,3.3,1.4,5.6,0,1,0,1,4,116.225,115.083333,'very unhealthy '
2017,4,14,30.9,36.5,23,1007.5,43,0,4.8,0.6,3.5,0,9,0,7,0,153.883333,149.916667,'very unhealthy '
2018,12,16,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,0,0,0,0,0,148.125,147.916667,'very unhealthy '
2018,3,15,28.2,34.4,23.7,1007.8,62,0.51,4.2,1.5,5.4,0,2,0,0,0,83.925,81.166667,'very unhealthy '
2018,8,13,29.8,33.6,27.1,1000,77.6,166.12,4.6,3.2,8,0,19,0,4,0,20.729167,137.958333,'very unhealthy '
2016,7,27,30.8,33.5,25.2,1007,66,0,5,3,5.4,0,22,0,4,0,33.225,34.041667,'very unhealthy '
2018,10,16,27.7,33.2,22.8,1011.5,64,0,4.5,0.6,3.5,0,7,0,0,0,77.74,98.5,'very unhealthy '
2019,10,19,27.4,31.6,24,1010,78.5,146.29,4.5,2,7.1,0,8,0,6,0,70.825,73.458333,'very unhealthy '
2018,3,11,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,0,2,0,0,0,211.266667,213.625,'very unhealthy '
2017,12,11,21.6,26.5,17.1,1013.6,73.6,33.01,3,0.5,4.4,0,3,0,0,7,32.833333,35.125,'very unhealthy '
2016,9,1,29.1,33.4,27.7,1002.7,82,2.03,5,1.1,3.5,0,18,0,6,0,29.21,39.7,'very unhealthy '
2016,6,1,29.6,32.8,25.2,1004.4,74,0,4.5,1.1,3.5,0,4,0,3,0,59.691667,62.666667,'very unhealthy '
2018,5,18,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,0,15,0,12,0,13.585714,24.271429,'very unhealthy '
2017,7,29,29.8,32.4,27.5,1003.6,81,9.14,5,0,4.3,0,14,0,8,0,44.116667,44.291667,'very unhealthy '
