@relation missing_fixed

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Temp numeric
@attribute TMax numeric
@attribute Tmin numeric
@attribute SLP numeric
@attribute Humidity numeric
@attribute PPresure numeric
@attribute VVisiblity numeric
@attribute VavgWindSpeed numeric
@attribute VMWindSpeed numeric
@attribute VGspeed numeric
@attribute RAin numeric
@attribute SNow numeric
@attribute TStrom numeric
@attribute FoG numeric
@attribute AQI numeric
@attribute NowCast numeric
@attribute Raw numeric

@data
2016,1,1,21.1,27.6,14.8,1018.8,66,0,1.8,0.6,3.5,0,1,0,0,11,388,77.74,78.47
2016,1,2,21.5,27,14.2,1018,64,0,2.6,2.4,9.4,0,1,0,0,11,312,77.74,78.47
2016,1,3,20.9,25.8,14.8,1016.5,63,0,2.6,2.2,9.4,0,1,0,0,11,305,77.74,78.47
2016,1,4,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,307,77.74,78.47
2016,1,5,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,294,77.74,78.47
2016,1,6,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,252,77.74,78.47
2016,1,7,21.6,26.6,14.6,1016.6,57,0,2.6,0.7,3.5,0,1,0,0,11,253,77.74,78.47
2016,1,8,21.2,26.8,14.4,1014.5,68,0,1.9,1.1,3.5,0,1,0,0,11,254,77.74,78.47
2016,1,9,21.7,25,18.4,1013.2,80,0,1,0.9,3.5,0,1,0,0,11,304,77.74,78.47
2016,1,10,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,325,77.74,78.47
2016,1,11,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,274,77.74,78.47
2016,1,12,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,242,77.74,78.47
2016,1,13,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,307,77.74,78.47
2016,1,14,20.3,25.2,14.2,1015,57,0,1.6,0,5.1,0,1,0,0,11,304,77.74,78.47
2016,1,15,21.2,26,14,1012.6,57,0,1.9,0.7,3.5,0,1,0,0,11,375,77.74,78.47
2016,1,16,19.2,26.6,14.9,1012.2,69,0,1.4,1.1,3.5,0,1,0,0,11,307,77.74,78.47
2016,1,17,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,331,77.74,78.47
2016,1,18,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,306,77.74,78.47
2016,1,19,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,290,77.74,78.47
2016,1,20,19.1,22.8,16.5,1014.6,74,2.79,1.9,4.6,5.4,0,1,0,0,11,103,77.74,78.47
2016,1,21,18.9,22.7,15.6,1015.9,74,0,1.9,3.5,7.2,0,1,0,0,11,102,77.74,78.47
2016,1,22,17.3,20,14.8,1017.5,75,0,1.9,8.9,18.3,0,1,0,0,11,143,77.74,78.47
2016,1,23,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,131,77.74,78.47
2016,1,24,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,182,77.74,78.47
2016,1,25,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,306,77.74,78.47
2016,1,26,16.2,22.1,10.2,1015.1,58,0,1.9,1.1,3.5,0,1,0,0,11,301,77.74,78.47
2016,1,27,20.5,25,16.8,1014.1,47,0,2.3,1.1,3.5,0,1,0,0,11,369,77.74,78.47
2016,1,28,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,301,77.74,78.47
2016,1,29,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,280,77.74,78.47
2016,1,30,18.4,24.4,13.4,1013.8,70,0,1.8,0.9,5.4,0,1,0,0,11,385,77.74,78.47
2016,1,31,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,0,1,0,0,11,392,77.74,78.47
2016,2,1,21.7,28,17.8,1013.9,72,0,1.3,0.6,3.5,0,2,0,0,8,240,77.74,78.47
2016,2,2,22.1,28.5,16.8,1015.2,68,0,1.6,1.9,5.4,0,2,0,0,8,302,77.74,78.47
2016,2,3,24,27.8,17.6,1014.1,46,0,2.4,1.9,5.4,0,2,0,0,8,279,77.74,78.47
2016,2,4,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,208,77.74,78.47
2016,2,5,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,237,77.74,78.47
2016,2,6,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,320,77.74,78.47
2016,2,7,22.4,28.4,13.6,1014.5,51,0,2.3,0.6,4.6,0,2,0,0,8,362,77.74,78.47
2016,2,8,21.8,29.1,15.6,1013.8,60,0,2.6,0.6,4.6,0,2,0,0,8,369,77.74,78.47
2016,2,9,24.2,27.5,18.6,1012.3,65,0.51,1.9,0.6,3.5,0,2,0,0,8,263,77.74,78.47
2016,2,10,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,246,77.74,78.47
2016,2,11,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,230,77.74,78.47
2016,2,12,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,199,77.74,78.47
2016,2,13,25.7,29,19.2,1013.8,45,0,2.7,0.9,3.5,0,2,0,0,8,240,77.74,78.47
2016,2,14,24.6,28.6,18.8,1013.6,57,0,1.9,0.6,3.5,0,2,0,0,8,290,77.74,78.47
2016,2,15,25.6,30.6,19.6,1014.9,64,0,1.8,0.6,3.5,0,2,0,0,8,333,77.74,78.47
2016,2,16,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,367,77.74,78.47
2016,2,17,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,384,77.74,78.47
2016,2,18,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,341,77.74,78.47
2016,2,19,26.6,33.6,21.8,1012.1,59,0,2.9,1.9,5.4,0,2,0,0,8,200,77.74,78.47
2016,2,20,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,107,77.74,78.47
2016,2,21,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,82,77.74,78.47
2016,2,22,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,290,77.74,78.47
2016,2,23,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,233,77.74,78.47
2016,2,24,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,236.62,77.74,78.47
2016,2,25,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,63,77.74,78.47
2016,2,26,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,112,77.74,78.47
2016,2,27,25.8,31.2,22,1015.7,57,0,3.2,0.7,3.5,0,2,0,0,8,185,77.74,78.47
2016,2,28,27.1,31.3,20.6,1015.7,52,0,2.9,0.7,3.5,0,2,0,0,8,245,77.74,78.47
2016,2,29,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,0,2,0,0,8,275,77.74,78.47
2016,3,1,25.6,32.1,19.9,1013.8,56,0,2.7,0.4,3.5,0,8,0,5,1,87.583333,39.5375,89.875
2016,3,2,26.2,32,21.6,1014.5,56,0,3.9,1.5,3.5,0,8,0,5,1,234.708333,169.825,165.041667
2016,3,3,26.6,33,21.4,1013.2,59,0,3.2,1.5,5.4,0,8,0,5,1,243.416667,180.070833,179.291667
2016,3,4,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,170.958333,89.145833,93.583333
2016,3,5,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,190.625,128.129167,122.833333
2016,3,6,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,195.083333,132.695833,130.208333
2016,3,7,26.7,33,20.2,1010.1,57,0,3.4,2.2,9.4,0,8,0,5,1,172.416667,95.604167,101.583333
2016,3,8,26.6,32.7,22.5,1009.5,56,0,3.1,3,9.4,0,8,0,5,1,185.291667,118.579167,114.541667
2016,3,9,29.5,34.5,22.5,1009.1,51,0,3.1,2,5.4,0,8,0,5,1,177.041667,104,106.791667
2016,3,10,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,180.916667,110.395833,108.916667
2016,3,11,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,174.5,101.025,100.541667
2016,3,12,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,178.166667,108.091667,107.625
2016,3,13,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,170.833333,93.870833,93.208333
2016,3,14,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,178.041667,106.55,105.458333
2016,3,15,27.4,32.4,20.7,1011.1,49,0,3.5,0,7,0,8,0,5,1,193.916667,128.091667,132.541667
2016,3,16,27.8,32.4,22.7,1010.4,49,0,3.9,1.5,5.4,0,8,0,5,1,204.708333,145.05,144.291667
2016,3,17,26.3,33.1,21,1012.1,35,0,4,1.1,3.5,0,8,0,5,1,193.958333,123.2125,120.416667
2016,3,18,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,193.875,131.879167,133.166667
2016,3,19,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,0,8,0,5,1,156.333333,70.05,67.833333
