year,month,day,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG
2010,January,1,16.6,23,13.7,1014.8,77,0,2.7,9.3,11.1,-,,,,
2010,January,2,16.2,23.1,12.4,1015,86,0,2.1,1.9,7.6,-,,,,o
2010,January,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,January,4,13.1,16.1,11.4,-,94,0,1.1,0.9,3.5,-,,,,o
2010,January,5,,,,,,,,,,,,,,o
2010,January,6,,,,,,,,,,,,,,
2010,January,7,,,,,,,,,,,,,,
2010,January,8,17.8,27.3,13.5,1013.9,67,0,3.2,0.9,3.5,-,,,,
2010,January,9,19.5,26,15.4,1013.8,60,0,3.1,4.1,7.6,-,,,,
2010,January,10,19.2,25.3,16.4,1014.2,58,0,3.1,2.8,7.6,-,,,,
2010,January,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,January,12,,,,,,,,,,,,,,o
2010,January,13,,,,,,,,,,,,,,o
2010,January,14,,,,,,,,,,,,,,
2010,January,15,19.2,26.2,15.2,1019.2,70,0,2.3,3.7,9.4,-,,,,
2010,January,16,15,17,13.8,1019.3,93,0,1,5.6,11.1,-,,,,o
2010,January,17,16.2,21.9,14,1018.2,82,0,1.8,7.4,11.1,-,,,,o
2010,January,18,,,,,,,,,,,,,,o
2010,January,19,,,,,,,,,,,,,,o
2010,January,20,,,,,,,,,,,,,,
2010,January,21,18.8,27.8,12.6,1014.8,69,0,3.1,1.9,7.6,-,,,,
2010,January,22,19.6,26.5,13.8,1015.2,64,0,3.2,1.9,3.5,-,,,,
2010,January,23,20.1,27.3,15,1014.9,60,0,3.2,1.3,5.4,-,,,,
2010,January,24,,,,,,,,,,,,,,
2010,January,25,,,,,,,,,,,,,,
2010,January,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,January,27,,,,,,,,,,,,,,
2010,January,28,20.8,27.3,15.7,1015.8,48,0,3.5,2.8,3.5,-,,,,
2010,January,29,20.3,27.5,15.2,1014.9,49,0,3.1,2.2,5.4,-,,,,
