Year,Month,Day,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG,AQI,NowCast,Raw
2016,1,1,21.1,27.6,14.8,1018.8,66,0,1.8,0.6,3.5,-,,,,o,-999,-999,-999
2016,1,2,21.5,27,14.2,1018,64,0,2.6,2.4,9.4,-,,,,,-999,-999,-999
2016,1,3,20.9,25.8,14.8,1016.5,63,0,2.6,2.2,9.4,-,,,,,-999,-999,-999
2016,1,4,,,,,,,,,,,,,,,-999,-999,-999
2016,1,5,,,,,,,,,,,,,,o,-999,-999,-999
2016,1,6,,,,,,,,,,,,,,,-999,-999,-999
2016,1,7,21.6,26.6,14.6,1016.6,57,0,2.6,0.7,3.5,-,,,,,-999,-999,-999
2016,1,8,21.2,26.8,14.4,1014.5,68,0,1.9,1.1,3.5,-,,,,,-999,-999,-999
2016,1,9,21.7,25,18.4,1013.2,80,0,1,0.9,3.5,-,,,,o,-999,-999,-999
2016,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-999,-999,-999
2016,1,11,,,,,,,,,,,,,,,-999,-999,-999
2016,1,12,,,,,,,,,,,,,,,-999,-999,-999
2016,1,13,,,,,,,,,,,,,,,-999,-999,-999
2016,1,14,20.3,25.2,14.2,1015,57,0,1.6,0,-,-,,,,o,-999,-999,-999
2016,1,15,21.2,26,14,1012.6,57,0,1.9,0.7,3.5,-,,,,,-999,-999,-999
2016,1,16,19.2,26.6,14.9,1012.2,69,0,1.4,1.1,3.5,-,,,,o,-999,-999,-999
2016,1,17,,,,,,,,,,,,,,,-999,-999,-999
2016,1,18,,,,,,,,,,,,,,,-999,-999,-999
2016,1,19,,,,,,,,,,,,,,o,-999,-999,-999
2016,1,20,19.1,22.8,16.5,1014.6,74,2.79,1.9,4.6,5.4,-,o,,,,-999,-999,-999
2016,1,21,18.9,22.7,15.6,1015.9,74,0,1.9,3.5,7.2,-,,,,o,-999,-999,-999
2016,1,22,17.3,20,14.8,1017.5,75,0,1.9,8.9,18.3,-,,,,,-999,-999,-999
2016,1,23,,,,,,,,,,,,,,o,-999,-999,-999
2016,1,24,,,,,,,,,,,,,,o,-999,-999,-999
2016,1,25,,,,,,,,,,,,,,o,-999,-999,-999
2016,1,26,16.2,22.1,10.2,1015.1,58,0,1.9,1.1,3.5,-,,,,,-999,-999,-999
2016,1,27,20.5,25,16.8,1014.1,47,0,2.3,0,-,-,,,,,-999,-999,-999
2016,1,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-999,-999,-999
2016,1,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-999,-999,-999
2016,1,30,18.4,24.4,13.4,1013.8,70,0,1.8,0.9,5.4,-,,,,,-999,-999,-999
2016,1,31,,,,,,,,,,,,,,o,-999,-999,-999
2016,2,1,21.7,28,17.8,1013.9,72,0,1.3,0.6,3.5,-,,,,o,-999,-999,-999
2016,2,2,22.1,28.5,16.8,1015.2,68,0,1.6,1.9,5.4,-,,,,o,-999,-999,-999
