web-scraper-order,web-scraper-start-url,year,year-href,month,month-href,Day,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG
1576011858-3941,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,1,16.6,23,13.7,1014.8,77,0,2.7,9.3,11.1,-,,,,
1576011858-3942,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,2,16.2,23.1,12.4,1015,86,0,2.1,1.9,7.6,-,,,,o
1576011858-3943,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011858-3944,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,4,13.1,16.1,11.4,-,94,0,1.1,0.9,3.5,-,,,,o
1576011858-3945,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,5,,,,,,,,,,,,,,o
1576011858-3946,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,6,,,,,,,,,,,,,,
1576011858-3947,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,7,,,,,,,,,,,,,,
1576011858-3948,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,8,17.8,27.3,13.5,1013.9,67,0,3.2,0.9,3.5,-,,,,
1576011858-3949,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,9,19.5,26,15.4,1013.8,60,0,3.1,4.1,7.6,-,,,,
1576011858-3950,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,10,19.2,25.3,16.4,1014.2,58,0,3.1,2.8,7.6,-,,,,
1576011858-3951,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011858-3952,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,12,,,,,,,,,,,,,,o
1576011858-3953,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,13,,,,,,,,,,,,,,o
1576011858-3954,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,14,,,,,,,,,,,,,,
1576011858-3955,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,15,19.2,26.2,15.2,1019.2,70,0,2.3,3.7,9.4,-,,,,
1576011858-3956,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,16,15,17,13.8,1019.3,93,0,1,5.6,11.1,-,,,,o
1576011858-3957,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,17,16.2,21.9,14,1018.2,82,0,1.8,7.4,11.1,-,,,,o
1576011858-3958,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,18,,,,,,,,,,,,,,o
1576011858-3959,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,19,,,,,,,,,,,,,,o
1576011858-3960,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,20,,,,,,,,,,,,,,
1576011858-3961,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,21,18.8,27.8,12.6,1014.8,69,0,3.1,1.9,7.6,-,,,,
1576011858-3962,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,22,19.6,26.5,13.8,1015.2,64,0,3.2,1.9,3.5,-,,,,
1576011858-3963,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,23,20.1,27.3,15,1014.9,60,0,3.2,1.3,5.4,-,,,,
1576011858-3964,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,24,,,,,,,,,,,,,,
1576011858-3965,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,25,,,,,,,,,,,,,,
1576011858-3966,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1576011858-3967,https://en.tutiempo.net/climate/ws-419230.html,Clima 2010,https://en.tutiempo.net/climate/2010/ws-419230.html,January,https://en.tutiempo.net/climate/01-2010/ws-419230.html,27,,,,,,,,,,,,,,
